T10Y3MM,T10Y2YM,TB3MS,FEDFUNDS,T10YFFM,GS10,GS2
0.31,0.12,7.64,8.23,-0.02,8.21,8.09
0.47,0.1,7.74,8.24,0.23,8.47,8.37
0.42,-0.04,7.9,8.28,0.31,8.59,8.63
0.75,0.07,7.77,8.26,0.53,8.79,8.72
0.75,0.12,7.74,8.18,0.58,8.76,8.64
0.49,0.13,7.73,8.29,0.19,8.48,8.35
0.6,0.31,7.62,8.15,0.32,8.47,8.16
1.06,0.69,7.45,8.13,0.62,8.75,8.06
1.29,0.81,7.36,8.2,0.69,8.89,8.08
1.32,0.84,7.17,8.11,0.61,8.72,7.88
1.1,0.79,7.06,7.81,0.58,8.39,7.6
1.13,0.77,6.74,7.31,0.77,8.08,7.31
1.68,0.96,6.22,6.91,1.18,8.09,7.13
1.73,0.98,5.94,6.25,1.6,7.85,6.87
2.02,1.01,5.91,6.12,1.99,8.11,7.1
2.21,1.09,5.65,5.91,2.13,8.04,6.95
2.44,1.29,5.46,5.78,2.29,8.07,6.78
2.53,1.32,5.57,5.9,2.38,8.28,6.96
2.52,1.35,5.58,5.82,2.45,8.27,6.92
2.4,1.47,5.33,5.66,2.24,7.9,6.43
2.28,1.47,5.22,5.45,2.2,7.65,6.18
2.39,1.62,4.99,5.21,2.32,7.53,5.91
2.73,1.86,4.56,4.81,2.61,7.42,5.56
2.91,2.06,4.07,4.43,2.66,7.09,5.03
3.12,2.07,3.8,4.03,3,7.03,4.96
3.39,2.13,3.84,4.06,3.28,7.34,5.21
3.4,1.85,4.04,3.98,3.56,7.54,5.69
3.64,2.14,3.75,3.73,3.75,7.48,5.34
3.67,2.16,3.63,3.82,3.57,7.39,5.23
3.51,2.21,3.66,3.76,3.5,7.26,5.05
3.56,2.48,3.21,3.25,3.59,6.84,4.36
3.39,2.4,3.13,3.3,3.29,6.59,4.19
3.45,2.53,2.91,3.22,3.2,6.42,3.89
3.66,2.51,2.86,3.1,3.49,6.59,4.08
3.66,2.29,3.13,3.09,3.78,6.87,4.58
3.48,2.1,3.22,2.92,3.85,6.77,4.67
3.53,2.21,3,3.02,3.58,6.6,4.39
3.27,2.16,2.93,3.03,3.23,6.26,4.1
2.97,2.03,2.95,3.07,2.91,5.98,3.95
3.04,2.13,2.87,2.96,3.01,5.97,3.84
3.01,2.06,2.96,3,3.04,6.04,3.98
2.82,1.8,3.07,3.04,2.92,5.96,4.16
2.7,1.74,3.04,3.06,2.75,5.81,4.07
2.59,1.68,3.02,3.03,2.65,5.68,4
2.35,1.51,2.95,3.09,2.27,5.36,3.85
2.24,1.46,3.02,2.99,2.34,5.33,3.87
2.54,1.56,3.1,3.02,2.7,5.72,4.16
2.64,1.56,3.06,2.96,2.81,5.77,4.21
2.71,1.61,2.98,3.05,2.7,5.75,4.14
2.64,1.5,3.25,3.25,2.72,5.97,4.47
2.89,1.48,3.5,3.34,3.14,6.48,5
3.19,1.42,3.68,3.56,3.41,6.97,5.55
2.91,1.21,4.14,4.01,3.17,7.18,5.97
2.85,1.17,4.14,4.25,2.85,7.1,5.93
2.84,1.17,4.33,4.26,3.04,7.3,6.13
2.63,1.06,4.48,4.47,2.77,7.24,6.18
2.71,1.07,4.62,4.73,2.73,7.46,6.39
2.64,1.01,4.95,4.76,2.98,7.74,6.73
2.51,0.81,5.29,5.29,2.67,7.96,7.15
2.05,0.22,5.6,5.45,2.36,7.81,7.59
1.88,0.27,5.71,5.53,2.25,7.78,7.51
1.53,0.36,5.77,5.92,1.55,7.47,7.11
1.29,0.42,5.73,5.98,1.22,7.2,6.78
1.22,0.49,5.65,6.05,1.01,7.06,6.57
0.78,0.46,5.67,6.01,0.62,6.63,6.17
0.53,0.45,5.47,6,0.17,6.17,5.72
0.69,0.5,5.42,5.85,0.43,6.28,5.78
0.92,0.51,5.4,5.74,0.75,6.49,5.98
0.77,0.39,5.28,5.8,0.4,6.2,5.81
0.6,0.34,5.28,5.76,0.28,6.04,5.7
0.41,0.45,5.36,5.8,0.13,5.93,5.48
0.42,0.39,5.14,5.6,0.11,5.71,5.32
0.5,0.54,5,5.56,0.09,5.65,5.11
0.85,0.78,4.83,5.22,0.59,5.81,5.03
1.17,0.61,4.96,5.31,0.96,6.27,5.66
1.42,0.55,4.95,5.22,1.29,6.51,5.96
1.59,0.64,5.02,5.24,1.5,6.74,6.1
1.68,0.61,5.09,5.27,1.64,6.91,6.3
1.57,0.6,5.15,5.4,1.47,6.87,6.27
1.45,0.61,5.05,5.22,1.42,6.64,6.03
1.59,0.6,5.09,5.3,1.53,6.83,6.23
1.41,0.62,4.99,5.24,1.29,6.53,5.91
1.03,0.5,5.03,5.31,0.89,6.2,5.7
1.26,0.52,4.91,5.29,1.01,6.3,5.78
1.41,0.57,5.03,5.25,1.33,6.58,6.01
1.28,0.52,5.01,5.19,1.23,6.42,5.9
1.41,0.47,5.14,5.39,1.3,6.69,6.22
1.59,0.44,5.16,5.51,1.38,6.89,6.45
1.51,0.43,5.05,5.5,1.21,6.71,6.28
1.42,0.4,4.93,5.56,0.93,6.49,6.09
1.03,0.33,5.05,5.52,0.7,6.22,5.89
1.02,0.36,5.14,5.54,0.76,6.3,5.94
1.13,0.33,4.95,5.54,0.67,6.21,5.88
0.92,0.26,4.97,5.5,0.53,6.03,5.77
0.6,0.17,5.14,5.52,0.36,5.88,5.71
0.51,0.09,5.16,5.5,0.31,5.81,5.72
0.36,0.18,5.04,5.56,-0.02,5.54,5.36
0.34,0.15,5.09,5.51,0.06,5.57,5.42
0.49,0.09,5.03,5.49,0.16,5.65,5.56
0.56,0.08,4.95,5.45,0.19,5.64,5.56
0.51,0.06,5,5.49,0.16,5.65,5.59
0.38,-0.02,4.98,5.56,-0.06,5.5,5.52
0.37,0,4.96,5.54,-0.08,5.46,5.46
0.3,0.07,4.9,5.55,-0.21,5.34,5.27
0.07,0.14,4.61,5.51,-0.7,4.81,4.67
0.46,0.44,3.96,5.07,-0.54,4.53,4.09
0.3,0.29,4.41,4.83,0,4.83,4.54
0.15,0.14,4.39,4.68,-0.03,4.65,4.51
0.27,0.1,4.34,4.63,0.09,4.72,4.62
0.44,0.12,4.44,4.76,0.24,5,4.88
0.66,0.18,4.44,4.81,0.42,5.23,5.05
0.77,0.2,4.29,4.74,0.44,5.18,4.98
0.91,0.29,4.5,4.74,0.8,5.54,5.25
1.18,0.28,4.57,4.76,1.14,5.9,5.62
1.1,0.24,4.55,4.99,0.8,5.79,5.55
1.07,0.26,4.72,5.07,0.87,5.94,5.68
1.1,0.26,4.68,5.22,0.7,5.92,5.66
1.09,0.25,4.86,5.2,0.91,6.11,5.86
0.8,0.17,5.07,5.42,0.61,6.03,5.86
0.92,0.18,5.2,5.3,0.98,6.28,6.1
1.16,0.22,5.32,5.45,1.21,6.66,6.44
0.79,-0.09,5.55,5.73,0.79,6.52,6.61
0.4,-0.27,5.69,5.85,0.41,6.26,6.53
0.17,-0.41,5.66,6.02,-0.03,5.99,6.4
0.45,-0.37,5.79,6.27,0.17,6.44,6.81
0.24,-0.38,5.69,6.53,-0.43,6.1,6.48
-0.09,-0.29,5.96,6.54,-0.49,6.05,6.34
-0.45,-0.4,6.09,6.5,-0.67,5.83,6.23
-0.38,-0.28,6,6.52,-0.72,5.8,6.08
-0.55,-0.17,6.11,6.51,-0.77,5.74,5.91
-0.64,-0.16,6.17,6.51,-0.79,5.72,5.88
-0.7,-0.11,5.77,6.4,-1.16,5.24,5.35
-0.13,0.4,5.15,5.98,-0.82,5.16,4.76
0.09,0.44,4.88,5.49,-0.39,5.1,4.66
0.35,0.55,4.42,5.31,-0.42,4.89,4.34
1.17,0.91,3.87,4.8,0.34,5.14,4.23
1.69,1.13,3.62,4.21,1.18,5.39,4.26
1.71,1.2,3.49,3.97,1.31,5.28,4.08
1.65,1.2,3.51,3.77,1.47,5.24,4.04
1.53,1.21,3.36,3.65,1.32,4.97,3.76
2.04,1.61,2.64,3.07,1.66,4.73,3.12
2.37,1.84,2.16,2.49,2.08,4.57,2.73
2.74,1.87,1.87,2.09,2.56,4.65,2.78
3.37,1.98,1.69,1.82,3.27,5.09,3.11
3.36,2.01,1.65,1.73,3.31,5.04,3.03
3.15,1.89,1.73,1.74,3.17,4.91,3.02
3.45,1.72,1.79,1.73,3.55,5.28,3.56
3.46,1.79,1.72,1.75,3.46,5.21,3.42
3.4,1.9,1.73,1.75,3.41,5.16,3.26
3.2,1.94,1.7,1.75,3.18,4.93,2.99
2.94,2.09,1.68,1.73,2.92,4.65,2.56
2.61,2.13,1.62,1.74,2.52,4.26,2.13
2.21,1.87,1.63,1.75,2.12,3.87,2
2.33,2.03,1.58,1.75,2.19,3.94,1.91
2.8,2.13,1.23,1.34,2.71,4.05,1.92
2.82,2.19,1.19,1.24,2.79,4.03,1.84
2.86,2.31,1.17,1.24,2.81,4.05,1.74
2.71,2.27,1.17,1.26,2.64,3.9,1.63
2.66,2.24,1.13,1.25,2.56,3.81,1.57
2.81,2.34,1.13,1.26,2.7,3.96,1.62
2.48,2.15,1.07,1.26,2.31,3.57,1.42
2.39,2.1,0.92,1.22,2.11,3.33,1.23
3.06,2.51,0.9,1.01,2.97,3.98,1.47
3.48,2.59,0.95,1.03,3.42,4.45,1.86
3.31,2.56,0.94,1.01,3.26,4.27,1.71
3.35,2.54,0.92,1.01,3.28,4.29,1.75
3.35,2.37,0.93,1,3.3,4.3,1.93
3.36,2.36,0.9,0.98,3.29,4.27,1.91
3.25,2.39,0.88,1,3.15,4.15,1.76
3.14,2.34,0.93,1.01,3.07,4.08,1.74
2.88,2.25,0.94,1,2.83,3.83,1.58
3.39,2.28,0.94,1,3.35,4.35,2.07
3.68,2.19,1.02,1,3.72,4.72,2.53
3.44,1.97,1.27,1.03,3.7,4.73,2.76
3.14,1.86,1.33,1.26,3.24,4.5,2.64
2.78,1.77,1.48,1.43,2.85,4.28,2.51
2.45,1.6,1.65,1.61,2.52,4.13,2.53
2.31,1.52,1.76,1.76,2.34,4.1,2.58
2.08,1.34,2.07,1.93,2.26,4.19,2.85
2.01,1.22,2.19,2.16,2.07,4.23,3.01
1.85,1,2.33,2.28,1.94,4.22,3.22
1.59,0.79,2.54,2.5,1.67,4.17,3.38
1.7,0.77,2.74,2.63,1.87,4.5,3.73
1.5,0.69,2.78,2.79,1.55,4.34,3.65
1.24,0.5,2.84,3,1.14,4.14,3.64
0.96,0.36,2.97,3.04,0.96,4,3.64
0.89,0.31,3.22,3.26,0.92,4.18,3.87
0.74,0.22,3.44,3.5,0.76,4.26,4.04
0.71,0.25,3.42,3.62,0.58,4.2,3.95
0.67,0.19,3.71,3.78,0.68,4.46,4.27
0.57,0.12,3.88,4,0.54,4.54,4.42
0.5,0.07,3.89,4.16,0.31,4.47,4.4
0.08,0.02,4.24,4.29,0.13,4.42,4.4
0.03,-0.1,4.43,4.49,0.08,4.57,4.67
0.09,-0.01,4.51,4.59,0.13,4.72,4.73
0.27,0.1,4.6,4.79,0.2,4.99,4.89
0.27,0.14,4.72,4.94,0.17,5.11,4.97
0.19,-0.01,4.79,4.99,0.12,5.11,5.12
0.01,-0.03,4.95,5.24,-0.15,5.09,5.12
-0.21,-0.02,4.96,5.25,-0.37,4.88,4.9
-0.21,-0.05,4.81,5.25,-0.53,4.72,4.77
-0.32,-0.07,4.92,5.25,-0.52,4.73,4.8
-0.47,-0.14,4.94,5.25,-0.65,4.6,4.74
-0.41,-0.11,4.85,5.24,-0.68,4.56,4.67
-0.35,-0.12,4.98,5.25,-0.49,4.76,4.88
-0.44,-0.13,5.03,5.26,-0.54,4.72,4.85
-0.52,-0.01,4.94,5.26,-0.7,4.56,4.57
-0.32,0.02,4.87,5.25,-0.56,4.69,4.67
-0.12,-0.02,4.73,5.25,-0.5,4.75,4.77
0.36,0.12,4.61,5.25,-0.15,5.1,4.98
0.04,0.18,4.82,5.26,-0.26,5,4.82
0.35,0.36,4.2,5.02,-0.35,4.67,4.31
0.53,0.51,3.89,4.94,-0.42,4.52,4.01
0.53,0.56,3.9,4.76,-0.23,4.53,3.97
0.8,0.81,3.27,4.49,-0.34,4.15,3.34
1.03,0.98,3,4.24,-0.14,4.1,3.12
0.92,1.26,2.75,3.94,-0.2,3.74,2.48
1.57,1.77,2.12,2.98,0.76,3.74,1.97
2.23,1.89,1.26,2.61,0.9,3.51,1.62
2.37,1.63,1.29,2.28,1.4,3.68,2.05
2.12,1.43,1.73,1.98,1.9,3.88,2.45
2.21,1.33,1.86,2,2.1,4.1,2.77
2.35,1.44,1.63,2.01,2,4.01,2.57
2.14,1.47,1.72,2,1.89,3.89,2.42
2.54,1.61,1.13,1.81,1.88,3.69,2.08
3.12,2.2,0.67,0.97,2.84,3.81,1.61
3.34,2.32,0.19,0.39,3.14,3.53,1.21
2.39,1.6,0.03,0.16,2.26,2.42,0.82
2.39,1.71,0.13,0.15,2.37,2.52,0.81
2.57,1.89,0.3,0.22,2.65,2.87,0.98
2.6,1.89,0.21,0.18,2.64,2.82,0.93
2.77,2,0.16,0.15,2.78,2.93,0.93
3.11,2.36,0.18,0.18,3.11,3.29,0.93
3.54,2.54,0.18,0.21,3.51,3.72,1.18
3.38,2.54,0.18,0.16,3.4,3.56,1.02
3.42,2.47,0.17,0.16,3.43,3.59,1.12
3.28,2.44,0.12,0.15,3.25,3.4,0.96
3.32,2.44,0.07,0.12,3.27,3.39,0.95
3.35,2.6,0.05,0.12,3.28,3.4,0.8
3.54,2.72,0.05,0.12,3.47,3.59,0.87
3.67,2.8,0.06,0.11,3.62,3.73,0.93
3.58,2.83,0.11,0.13,3.56,3.69,0.86
3.58,2.77,0.15,0.16,3.57,3.73,0.96
3.69,2.79,0.16,0.2,3.65,3.85,1.06
3.26,2.59,0.16,0.2,3.22,3.42,0.83
3.08,2.48,0.12,0.18,3.02,3.2,0.72
2.85,2.39,0.16,0.18,2.83,3.01,0.62
2.54,2.18,0.16,0.19,2.51,2.7,0.52
2.5,2.17,0.15,0.19,2.46,2.65,0.48
2.41,2.16,0.13,0.19,2.35,2.54,0.38
2.62,2.31,0.14,0.19,2.57,2.76,0.45
3.15,2.67,0.14,0.18,3.11,3.29,0.62
3.24,2.78,0.15,0.17,3.22,3.39,0.61
3.45,2.81,0.13,0.16,3.42,3.58,0.77
3.31,2.71,0.1,0.14,3.27,3.41,0.7
3.4,2.73,0.06,0.1,3.36,3.46,0.73
3.13,2.61,0.04,0.09,3.08,3.17,0.56
2.96,2.59,0.04,0.09,2.91,3,0.41
2.96,2.59,0.04,0.07,2.93,3,0.41
2.28,2.07,0.02,0.1,2.2,2.3,0.23
1.97,1.77,0.01,0.08,1.9,1.98,0.21
2.13,1.87,0.02,0.07,2.08,2.15,0.28
2,1.76,0.01,0.08,1.93,2.01,0.25
1.97,1.72,0.01,0.07,1.91,1.98,0.26
1.94,1.73,0.03,0.08,1.89,1.97,0.24
1.88,1.69,0.09,0.1,1.87,1.97,0.28
2.09,1.83,0.08,0.13,2.04,2.17,0.34
1.97,1.76,0.08,0.14,1.91,2.05,0.29
1.71,1.51,0.09,0.16,1.64,1.8,0.29
1.53,1.33,0.09,0.16,1.46,1.62,0.29
1.43,1.28,0.1,0.16,1.37,1.53,0.25
1.58,1.41,0.1,0.13,1.55,1.68,0.27
1.61,1.46,0.11,0.14,1.58,1.72,0.26
1.65,1.47,0.1,0.16,1.59,1.75,0.28
1.56,1.38,0.09,0.16,1.49,1.65,0.27
1.65,1.46,0.07,0.16,1.56,1.72,0.26
1.84,1.64,0.07,0.14,1.77,1.91,0.27
1.88,1.71,0.1,0.15,1.83,1.98,0.27
1.87,1.7,0.09,0.14,1.82,1.96,0.26
1.7,1.53,0.06,0.15,1.61,1.76,0.23
1.89,1.68,0.04,0.11,1.82,1.93,0.25
2.25,1.97,0.05,0.09,2.21,2.3,0.33
2.54,2.24,0.04,0.09,2.49,2.58,0.34
2.7,2.38,0.04,0.08,2.66,2.74,0.36
2.79,2.41,0.02,0.08,2.73,2.81,0.4
2.57,2.28,0.05,0.09,2.53,2.62,0.34
2.65,2.42,0.07,0.08,2.64,2.72,0.3
2.83,2.56,0.07,0.09,2.81,2.9,0.34
2.82,2.47,0.04,0.07,2.79,2.86,0.39
2.66,2.38,0.05,0.07,2.64,2.71,0.33
2.67,2.32,0.05,0.08,2.64,2.72,0.4
2.68,2.29,0.03,0.09,2.62,2.71,0.42
2.53,2.17,0.03,0.09,2.47,2.56,0.39
2.56,2.15,0.04,0.1,2.5,2.6,0.45
2.51,2.03,0.03,0.09,2.45,2.54,0.51
2.39,1.95,0.03,0.09,2.33,2.42,0.47
2.51,1.96,0.02,0.09,2.44,2.53,0.57
2.28,1.85,0.02,0.09,2.21,2.3,0.45
2.31,1.8,0.02,0.09,2.24,2.33,0.53
2.18,1.57,0.03,0.12,2.09,2.21,0.64
1.85,1.33,0.03,0.11,1.77,1.88,0.55
1.96,1.36,0.02,0.11,1.87,1.98,0.62
2.01,1.4,0.03,0.11,1.93,2.04,0.64
1.92,1.4,0.02,0.12,1.82,1.94,0.54
2.18,1.59,0.02,0.12,2.08,2.2,0.61
2.34,1.67,0.02,0.13,2.23,2.36,0.69
2.29,1.65,0.03,0.13,2.19,2.32,0.67
2.1,1.47,0.07,0.14,2.03,2.17,0.7
2.15,1.46,0.02,0.14,2.03,2.17,0.71
2.05,1.43,0.02,0.12,1.95,2.07,0.64
2.13,1.38,0.12,0.12,2.14,2.26,0.88
2.01,1.26,0.23,0.24,2,2.24,0.98
1.83,1.19,0.26,0.34,1.75,2.09,0.9
1.47,1.05,0.31,0.38,1.4,1.78,0.73
1.59,1.01,0.29,0.36,1.53,1.89,0.88
1.58,1.04,0.23,0.37,1.44,1.81,0.77
1.53,0.99,0.27,0.37,1.44,1.81,0.82
1.37,0.91,0.27,0.38,1.26,1.64,0.73
1.2,0.83,0.3,0.39,1.11,1.5,0.67
1.26,0.82,0.3,0.4,1.16,1.56,0.74
1.34,0.86,0.29,0.4,1.23,1.63,0.77
1.43,0.92,0.33,0.4,1.36,1.76,0.84
1.69,1.16,0.45,0.41,1.73,2.14,0.98
1.98,1.29,0.51,0.54,1.95,2.49,1.2
1.91,1.22,0.51,0.65,1.78,2.43,1.21
1.89,1.22,0.52,0.66,1.76,2.42,1.2
1.73,1.17,0.74,0.79,1.69,2.48,1.31
1.49,1.06,0.8,0.9,1.4,2.3,1.24
1.4,1,0.89,0.91,1.39,2.3,1.3
1.19,0.85,0.98,1.04,1.15,2.19,1.34
1.23,0.95,1.07,1.15,1.17,2.32,1.37
1.18,0.87,1.01,1.16,1.05,2.21,1.34
1.15,0.82,1.03,1.15,1.05,2.2,1.38
1.27,0.81,1.07,1.15,1.21,2.36,1.55
