DATE,T10Y3MM
01-01-90,0.31
01-02-90,0.47
01-03-90,0.42
01-04-90,0.75
01-05-90,0.75
01-06-90,0.49
01-07-90,0.6
01-08-90,1.06
01-09-90,1.29
01-10-90,1.32
01-11-90,1.1
01-12-90,1.13
01-01-91,1.68
01-02-91,1.73
01-03-91,2.02
01-04-91,2.21
01-05-91,2.44
01-06-91,2.53
01-07-91,2.52
01-08-91,2.4
01-09-91,2.28
01-10-91,2.39
01-11-91,2.73
01-12-91,2.91
01-01-92,3.12
01-02-92,3.39
01-03-92,3.4
01-04-92,3.64
01-05-92,3.67
01-06-92,3.51
01-07-92,3.56
01-08-92,3.39
01-09-92,3.45
01-10-92,3.66
01-11-92,3.66
01-12-92,3.48
01-01-93,3.53
01-02-93,3.27
01-03-93,2.97
01-04-93,3.04
01-05-93,3.01
01-06-93,2.82
01-07-93,2.7
01-08-93,2.59
01-09-93,2.35
01-10-93,2.24
01-11-93,2.54
01-12-93,2.64
01-01-94,2.71
01-02-94,2.64
01-03-94,2.89
01-04-94,3.19
01-05-94,2.91
01-06-94,2.85
01-07-94,2.84
01-08-94,2.63
01-09-94,2.71
01-10-94,2.64
01-11-94,2.51
01-12-94,2.05
01-01-95,1.88
01-02-95,1.53
01-03-95,1.29
01-04-95,1.22
01-05-95,0.78
01-06-95,0.53
01-07-95,0.69
01-08-95,0.92
01-09-95,0.77
01-10-95,0.6
01-11-95,0.41
01-12-95,0.42
01-01-96,0.5
01-02-96,0.85
01-03-96,1.17
01-04-96,1.42
01-05-96,1.59
01-06-96,1.68
01-07-96,1.57
01-08-96,1.45
01-09-96,1.59
01-10-96,1.41
01-11-96,1.03
01-12-96,1.26
01-01-97,1.41
01-02-97,1.28
01-03-97,1.41
01-04-97,1.59
01-05-97,1.51
01-06-97,1.42
01-07-97,1.03
01-08-97,1.02
01-09-97,1.13
01-10-97,0.92
01-11-97,0.6
01-12-97,0.51
01-01-98,0.36
01-02-98,0.34
01-03-98,0.49
01-04-98,0.56
01-05-98,0.51
01-06-98,0.38
01-07-98,0.37
01-08-98,0.3
01-09-98,0.07
01-10-98,0.46
01-11-98,0.3
01-12-98,0.15
01-01-99,0.27
01-02-99,0.44
01-03-99,0.66
01-04-99,0.77
01-05-99,0.91
01-06-99,1.18
01-07-99,1.1
01-08-99,1.07
01-09-99,1.1
01-10-99,1.09
01-11-99,0.8
01-12-99,0.92
01-01-00,1.16
01-02-00,0.79
01-03-00,0.4
01-04-00,0.17
01-05-00,0.45
01-06-00,0.24
01-07-00,-0.09
01-08-00,-0.45
01-09-00,-0.38
01-10-00,-0.55
01-11-00,-0.64
01-12-00,-0.7
01-01-01,-0.13
01-02-01,0.09
01-03-01,0.35
01-04-01,1.17
01-05-01,1.69
01-06-01,1.71
01-07-01,1.65
01-08-01,1.53
01-09-01,2.04
01-10-01,2.37
01-11-01,2.74
01-12-01,3.37
01-01-02,3.36
01-02-02,3.15
01-03-02,3.45
01-04-02,3.46
01-05-02,3.4
01-06-02,3.2
01-07-02,2.94
01-08-02,2.61
01-09-02,2.21
01-10-02,2.33
01-11-02,2.8
01-12-02,2.82
01-01-03,2.86
01-02-03,2.71
01-03-03,2.66
01-04-03,2.81
01-05-03,2.48
01-06-03,2.39
01-07-03,3.06
01-08-03,3.48
01-09-03,3.31
01-10-03,3.35
01-11-03,3.35
01-12-03,3.36
01-01-04,3.25
01-02-04,3.14
01-03-04,2.88
01-04-04,3.39
01-05-04,3.68
01-06-04,3.44
01-07-04,3.14
01-08-04,2.78
01-09-04,2.45
01-10-04,2.31
01-11-04,2.08
01-12-04,2.01
01-01-05,1.85
01-02-05,1.59
01-03-05,1.7
01-04-05,1.5
01-05-05,1.24
01-06-05,0.96
01-07-05,0.89
01-08-05,0.74
01-09-05,0.71
01-10-05,0.67
01-11-05,0.57
01-12-05,0.5
01-01-06,0.08
01-02-06,0.03
01-03-06,0.09
01-04-06,0.27
01-05-06,0.27
01-06-06,0.19
01-07-06,0.01
01-08-06,-0.21
01-09-06,-0.21
01-10-06,-0.32
01-11-06,-0.47
01-12-06,-0.41
01-01-07,-0.35
01-02-07,-0.44
01-03-07,-0.52
01-04-07,-0.32
01-05-07,-0.12
01-06-07,0.36
01-07-07,0.04
01-08-07,0.35
01-09-07,0.53
01-10-07,0.53
01-11-07,0.8
01-12-07,1.03
01-01-08,0.92
01-02-08,1.57
01-03-08,2.23
01-04-08,2.37
01-05-08,2.12
01-06-08,2.21
01-07-08,2.35
01-08-08,2.14
01-09-08,2.54
01-10-08,3.12
01-11-08,3.34
01-12-08,2.39
01-01-09,2.39
01-02-09,2.57
01-03-09,2.6
01-04-09,2.77
01-05-09,3.11
01-06-09,3.54
01-07-09,3.38
01-08-09,3.42
01-09-09,3.28
01-10-09,3.32
01-11-09,3.35
01-12-09,3.54
01-01-10,3.67
01-02-10,3.58
01-03-10,3.58
01-04-10,3.69
01-05-10,3.26
01-06-10,3.08
01-07-10,2.85
01-08-10,2.54
01-09-10,2.5
01-10-10,2.41
01-11-10,2.62
01-12-10,3.15
01-01-11,3.24
01-02-11,3.45
01-03-11,3.31
01-04-11,3.4
01-05-11,3.13
01-06-11,2.96
01-07-11,2.96
01-08-11,2.28
01-09-11,1.97
01-10-11,2.13
01-11-11,2
01-12-11,1.97
01-01-12,1.94
01-02-12,1.88
01-03-12,2.09
01-04-12,1.97
01-05-12,1.71
01-06-12,1.53
01-07-12,1.43
01-08-12,1.58
01-09-12,1.61
01-10-12,1.65
01-11-12,1.56
01-12-12,1.65
01-01-13,1.84
01-02-13,1.88
01-03-13,1.87
01-04-13,1.7
01-05-13,1.89
01-06-13,2.25
01-07-13,2.54
01-08-13,2.7
01-09-13,2.79
01-10-13,2.57
01-11-13,2.65
01-12-13,2.83
01-01-14,2.82
01-02-14,2.66
01-03-14,2.67
01-04-14,2.68
01-05-14,2.53
01-06-14,2.56
01-07-14,2.51
01-08-14,2.39
01-09-14,2.51
01-10-14,2.28
01-11-14,2.31
01-12-14,2.18
01-01-15,1.85
01-02-15,1.96
01-03-15,2.01
01-04-15,1.92
01-05-15,2.18
01-06-15,2.34
01-07-15,2.29
01-08-15,2.1
01-09-15,2.15
01-10-15,2.05
01-11-15,2.13
01-12-15,2.01
01-01-16,1.83
01-02-16,1.47
01-03-16,1.59
01-04-16,1.58
01-05-16,1.53
01-06-16,1.37
01-07-16,1.2
01-08-16,1.26
01-09-16,1.34
01-10-16,1.43
01-11-16,1.69
01-12-16,1.98
01-01-17,1.91
01-02-17,1.89
01-03-17,1.73
01-04-17,1.49
01-05-17,1.4
01-06-17,1.19
01-07-17,1.23
01-08-17,1.18
01-09-17,1.15
01-10-17,1.27
